"user_id","app_id","ip","time","deviceid"
"1003078",2,"211.140.18.105","2014-10-07 22:32:03","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.5.99","2014-10-07 11:46:31","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.18.98","2014-10-04 11:24:39","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.18.97","2014-10-03 23:48:42","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.18.117","2014-10-02 22:38:36","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"49.80.31.51","2014-10-01 12:03:27","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"157.122.148.30","2014-09-30 21:27:10","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.5.113","2014-09-29 21:39:26","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003078",2,"211.140.5.113","2014-09-29 09:44:47","APA91bEc3KfUdz1rkdi2ragwlHk9I_NEjZqgsMPrWSzDfy2QjlnN-n7vLwLllSUdqEDSyBwICDQe_VPfNRlVG41Qc-jG9Qc_HIa4esXwc3FkUBvKoE3cFkbuP_f7gBFNoYSv7mTDNtAhagZKELKWjOM2W7wETRwGww"
"1003318",1,"121.31.250.131","2014-10-07 08:55:37",""
"1003318",1,"121.31.250.53","2014-10-06 13:57:03",""
"1003318",1,"121.31.250.200","2014-10-05 11:39:50",""
"1003318",1,"113.12.161.77","2014-09-28 18:19:55",""
"1003498",2,"125.46.224.228","2014-10-05 00:54:24",NULL
"1003498",2,"125.46.224.228","2014-10-05 00:54:19",NULL
"1003767",2,"192.168.100.254","2014-09-23 02:17:42",NULL
"1003787",2,"14.16.90.185","2014-10-07 13:50:06",NULL
"1003787",2,"14.16.97.44","2014-10-06 20:52:50",NULL
"1003787",2,"14.16.98.253","2014-10-05 11:50:30",NULL
"1003787",2,"14.16.92.182","2014-10-04 20:06:26",NULL
"1003787",2,"125.88.77.2","2014-10-04 12:39:27",NULL
"1003787",2,"14.16.95.23","2014-10-03 22:58:40",NULL
"1003787",2,"14.16.94.121","2014-10-02 07:13:50",NULL
"1003787",2,"14.16.90.45","2014-10-01 22:09:51",NULL
"1003787",2,"14.16.91.136","2014-10-01 10:32:43",NULL
"1003787",2,"14.16.89.219","2014-10-01 01:07:45",NULL
"1003787",2,"14.16.89.219","2014-10-01 00:59:17",NULL
"1003787",2,"14.16.99.26","2014-09-30 23:18:41",NULL
"1003787",2,"14.16.91.175","2014-09-30 18:41:35",NULL
"1003787",2,"14.16.94.90","2014-09-30 18:23:40",NULL
"1003787",2,"14.16.98.46","2014-09-30 17:33:15",NULL
"1003787",2,"14.16.97.89","2014-09-30 14:08:53",NULL
"1003787",2,"14.16.90.13","2014-09-30 07:42:30",NULL
"1003787",2,"14.16.99.196","2014-09-29 21:45:14",NULL
"1003787",2,"14.16.95.68","2014-09-29 16:42:10",NULL
"1003787",2,"14.16.93.55","2014-09-28 22:59:46",NULL
"1003787",2,"14.16.89.37","2014-09-28 22:08:48",NULL
"1003787",2,"14.16.90.123","2014-09-28 16:21:51",NULL
"1003787",2,"14.16.98.154","2014-09-28 11:27:26",NULL
"1003787",2,"14.16.98.154","2014-09-28 11:02:19",NULL
"1003787",2,"125.88.77.19","2014-09-28 02:18:09",NULL
"1003787",2,"14.16.90.236","2014-09-27 22:16:40",NULL
"1003787",2,"183.34.1.213","2014-09-26 16:47:01",NULL
"1003787",2,"14.16.92.251","2014-09-25 23:55:44",NULL
"1003787",2,"14.16.92.251","2014-09-25 20:42:50",NULL
"1003787",2,"14.16.94.43","2014-09-24 23:27:10",NULL
"1003787",2,"14.16.88.175","2014-09-24 06:57:28",NULL
"1003893",2,"171.82.128.114","2014-10-01 09:38:47","APA91bE2yIqxGCqLlmI8kwRfDp4jWW7c0gtoEBbAH10ZCyJn3_TRoVloUaQRjnreGvOass9-dSLWzlxLDlgqFBomsszNMzotsOo0zX81s4BIvhWVtY0hfUATfeLg0NIKVMeDsRh7XnQLfY_BJb_nqjo8967D9z7niA"
"1003893",2,"61.184.95.172","2014-09-29 23:06:54","APA91bE2yIqxGCqLlmI8kwRfDp4jWW7c0gtoEBbAH10ZCyJn3_TRoVloUaQRjnreGvOass9-dSLWzlxLDlgqFBomsszNMzotsOo0zX81s4BIvhWVtY0hfUATfeLg0NIKVMeDsRh7XnQLfY_BJb_nqjo8967D9z7niA"
"1003893",2,"171.82.130.167","2014-09-28 12:11:45","APA91bE2yIqxGCqLlmI8kwRfDp4jWW7c0gtoEBbAH10ZCyJn3_TRoVloUaQRjnreGvOass9-dSLWzlxLDlgqFBomsszNMzotsOo0zX81s4BIvhWVtY0hfUATfeLg0NIKVMeDsRh7XnQLfY_BJb_nqjo8967D9z7niA"
"1003893",2,"171.82.128.60","2014-09-27 16:38:38","APA91bE2yIqxGCqLlmI8kwRfDp4jWW7c0gtoEBbAH10ZCyJn3_TRoVloUaQRjnreGvOass9-dSLWzlxLDlgqFBomsszNMzotsOo0zX81s4BIvhWVtY0hfUATfeLg0NIKVMeDsRh7XnQLfY_BJb_nqjo8967D9z7niA"
"1003893",2,"58.50.182.98","2014-09-25 20:16:41","APA91bE2yIqxGCqLlmI8kwRfDp4jWW7c0gtoEBbAH10ZCyJn3_TRoVloUaQRjnreGvOass9-dSLWzlxLDlgqFBomsszNMzotsOo0zX81s4BIvhWVtY0hfUATfeLg0NIKVMeDsRh7XnQLfY_BJb_nqjo8967D9z7niA"
"1003996",2,"123.150.202.235","2014-10-06 21:24:54",NULL
"1003996",2,"10.16.232.36","2014-10-06 05:50:31",NULL
"1003996",2,"10.5.107.176","2014-10-03 23:20:30",NULL
"1003996",2,"10.16.34.26","2014-10-03 07:14:30",NULL
"1003996",2,"118.80.67.112","2014-10-02 11:07:34",NULL
"1003996",2,"123.150.202.235","2014-09-29 21:57:37",NULL
"1004122",2,"183.203.40.40","2014-10-06 10:38:54",NULL
"1004122",2,"117.136.4.83","2014-10-03 21:57:02",NULL
"1004122",2,"60.223.110.151","2014-10-02 15:51:50",NULL
"1004122",2,"60.223.145.148","2014-10-02 11:15:44",NULL
"1004122",2,"117.136.4.64","2014-10-01 22:09:09",NULL
"1004122",2,"60.223.144.20","2014-09-30 17:40:27",NULL
"1004122",2,"117.136.4.70","2014-09-28 17:23:43",NULL
"1004122",2,"183.203.40.44","2014-09-28 13:34:52",NULL
